,0
812,px_203_face
813,py_203_face
814,dx_203_face
815,dy_203_face
816,px_204_face
817,py_204_face
818,dx_204_face
819,dy_204_face
820,px_205_face
821,py_205_face
822,dx_205_face
823,dy_205_face
824,px_206_face
825,py_206_face
826,dx_206_face
827,dy_206_face
828,px_207_face
829,py_207_face
830,dx_207_face
831,dy_207_face
832,px_208_face
833,py_208_face
834,dx_208_face
835,dy_208_face
836,px_209_face
837,py_209_face
838,dx_209_face
839,dy_209_face
840,px_210_face
841,py_210_face
842,dx_210_face
843,dy_210_face
844,px_211_face
845,py_211_face
846,dx_211_face
847,dy_211_face
848,px_212_face
849,py_212_face
850,dx_212_face
851,dy_212_face
852,px_213_face
853,py_213_face
854,dx_213_face
855,dy_213_face
856,px_214_face
857,py_214_face
858,dx_214_face
859,dy_214_face
860,px_215_face
861,py_215_face
862,dx_215_face
863,dy_215_face
864,px_216_face
865,py_216_face
866,dx_216_face
867,dy_216_face
868,px_217_face
869,py_217_face
870,dx_217_face
871,dy_217_face
872,px_218_face
873,py_218_face
874,dx_218_face
875,dy_218_face
876,px_219_face
877,py_219_face
878,dx_219_face
879,dy_219_face
880,px_220_face
881,py_220_face
882,dx_220_face
883,dy_220_face
884,px_221_face
885,py_221_face
886,dx_221_face
887,dy_221_face
888,px_222_face
889,py_222_face
890,dx_222_face
891,dy_222_face
892,px_223_face
893,py_223_face
894,dx_223_face
895,dy_223_face
896,px_224_face
897,py_224_face
898,dx_224_face
899,dy_224_face
900,px_225_face
901,py_225_face
902,dx_225_face
903,dy_225_face
904,px_226_face
905,py_226_face
906,dx_226_face
907,dy_226_face
908,px_227_face
909,py_227_face
910,dx_227_face
911,dy_227_face
912,px_228_face
913,py_228_face
914,dx_228_face
915,dy_228_face
916,px_229_face
917,py_229_face
918,dx_229_face
919,dy_229_face
920,px_230_face
921,py_230_face
922,dx_230_face
923,dy_230_face
924,px_231_face
925,py_231_face
926,dx_231_face
927,dy_231_face
928,px_232_face
929,py_232_face
930,dx_232_face
931,dy_232_face
932,px_233_face
933,py_233_face
934,dx_233_face
935,dy_233_face
936,px_234_face
937,py_234_face
938,dx_234_face
939,dy_234_face
940,px_235_face
941,py_235_face
942,dx_235_face
943,dy_235_face
944,px_236_face
945,py_236_face
946,dx_236_face
947,dy_236_face
948,px_237_face
949,py_237_face
950,dx_237_face
951,dy_237_face
952,px_238_face
953,py_238_face
954,dx_238_face
955,dy_238_face
956,px_239_face
957,py_239_face
958,dx_239_face
959,dy_239_face
960,px_240_face
961,py_240_face
962,dx_240_face
963,dy_240_face
