,0
1182,dx_241_face
1183,dy_241_face
1184,px_242_face
1185,py_242_face
1186,dx_242_face
1187,dy_242_face
1188,px_243_face
1189,py_243_face
1190,dx_243_face
1191,dy_243_face
1192,px_244_face
1193,py_244_face
1194,dx_244_face
1195,dy_244_face
1196,px_245_face
1197,py_245_face
1198,dx_245_face
1199,dy_245_face
1200,px_246_face
1201,py_246_face
1202,dx_246_face
1203,dy_246_face
1204,px_247_face
1205,py_247_face
1206,dx_247_face
1207,dy_247_face
1208,px_248_face
1209,py_248_face
1210,dx_248_face
1211,dy_248_face
1212,px_249_face
1213,py_249_face
1214,dx_249_face
1215,dy_249_face
1216,px_250_face
1217,py_250_face
1218,dx_250_face
1219,dy_250_face
1220,px_251_face
1221,py_251_face
1222,dx_251_face
1223,dy_251_face
1224,px_252_face
1225,py_252_face
1226,dx_252_face
1227,dy_252_face
1228,px_253_face
1229,py_253_face
1230,dx_253_face
1231,dy_253_face
1232,px_254_face
1233,py_254_face
1234,dx_254_face
1235,dy_254_face
1236,px_255_face
1237,py_255_face
1238,dx_255_face
1239,dy_255_face
1240,px_256_face
1241,py_256_face
1242,dx_256_face
1243,dy_256_face
1244,px_257_face
1245,py_257_face
1246,dx_257_face
1247,dy_257_face
1248,px_258_face
1249,py_258_face
1250,dx_258_face
1251,dy_258_face
1252,px_259_face
1253,py_259_face
1254,dx_259_face
1255,dy_259_face
1256,px_260_face
1257,py_260_face
1258,dx_260_face
1259,dy_260_face
1260,px_261_face
1261,py_261_face
1262,dx_261_face
1263,dy_261_face
1264,px_262_face
1265,py_262_face
1266,dx_262_face
1267,dy_262_face
1268,px_263_face
1269,py_263_face
1270,dx_263_face
1271,dy_263_face
1272,px_264_face
1273,py_264_face
1274,dx_264_face
1275,dy_264_face
1276,px_265_face
1277,py_265_face
1278,dx_265_face
1279,dy_265_face
1280,px_266_face
1281,py_266_face
1282,dx_266_face
1283,dy_266_face
1284,px_267_face
1285,py_267_face
1286,dx_267_face
1287,dy_267_face
1288,px_268_face
1289,py_268_face
1290,dx_268_face
1291,dy_268_face
1292,px_269_face
1293,py_269_face
1294,dx_269_face
1295,dy_269_face
1296,px_270_face
1297,py_270_face
1298,dx_270_face
1299,dy_270_face
1300,px_271_face
1301,py_271_face
1302,dx_271_face
1303,dy_271_face
1304,px_272_face
1305,py_272_face
1306,dx_272_face
1307,dy_272_face
1308,px_273_face
1309,py_273_face
1310,dx_273_face
1311,dy_273_face
1312,px_274_face
1313,py_274_face
1314,dx_274_face
1315,dy_274_face
1316,px_275_face
1317,py_275_face
1318,dx_275_face
1319,dy_275_face
1320,px_276_face
1321,py_276_face
1322,dx_276_face
1323,dy_276_face
1324,px_277_face
1325,py_277_face
1326,dx_277_face
1327,dy_277_face
1328,px_278_face
1329,py_278_face
1330,dx_278_face
1331,dy_278_face
1332,px_279_face
1333,py_279_face
1334,dx_279_face
1335,dy_279_face
1336,px_280_face
1337,py_280_face
1338,dx_280_face
1339,dy_280_face
1340,px_281_face
1341,py_281_face
1342,dx_281_face
1343,dy_281_face
1344,px_282_face
1345,py_282_face
1346,dx_282_face
1347,dy_282_face
1348,px_283_face
1349,py_283_face
1350,dx_283_face
1351,dy_283_face
1352,px_284_face
1353,py_284_face
1354,dx_284_face
1355,dy_284_face
1356,px_285_face
1357,py_285_face
1358,dx_285_face
1359,dy_285_face
1360,px_286_face
1361,py_286_face
1362,dx_286_face
